,id_student,login_frequency,total_clicks,activity_std,submission_delay,avg_score,study_status,withdrawal_status,gender,region,highest_education,imd_band,age_band
0,6516,3310,13955,72.51198683868839,-2.6,61.8,finished,didn't withdraw,M,Scotland,HE Qualification,80-90%,55<=
1,8462,916,1978,28.87737581581985,-18.53846153846154,87.3076923076923,unfinished,late withdrawal,M,London Region,HE Qualification,30-40%,55<=
2,11391,980,4670,72.69036837967197,-1.8,82.0,finished,didn't withdraw,M,East Anglian Region,HE Qualification,90-100%,55<=
3,23629,236,644,25.58139743518407,3.5,82.5,finished,didn't withdraw,F,East Anglian Region,Lower Than A Level,20-30%,0-35
4,23698,2440,7280,70.81195755896975,1.125,73.75,finished,didn't withdraw,F,East Anglian Region,A Level or Equivalent,50-60%,0-35
5,23798,3366,6490,61.361818154881355,0.2727272727272727,93.9090909090909,finished,didn't withdraw,M,Wales,A Level or Equivalent,50-60%,0-35
6,24186,656,1472,37.338375102823484,-41.25,62.5,finished,didn't withdraw,F,Yorkshire Region,Lower Than A Level,10-20,0-35
7,24213,5173,13944,74.29688856048807,1.8571428571428572,76.28571428571429,finished,didn't withdraw,F,East Anglian Region,A Level or Equivalent,40-50%,0-35
8,24391,2070,6408,58.54520662392433,-39.666666666666664,88.88888888888889,finished,didn't withdraw,M,East Midlands Region,A Level or Equivalent,80-90%,0-35
9,24734,1150,2495,72.51198683868839,7.4,46.8,finished,didn't withdraw,F,South Region,Lower Than A Level,60-70%,0-35
10,25107,5753,28182,55.258072219853524,1.8181818181818181,77.36363636363636,finished,didn't withdraw,F,East Anglian Region,Lower Than A Level,20-30%,0-35
11,25150,2028,8412,46.22804622806934,-1.0,84.25,finished,didn't withdraw,M,North Western Region,HE Qualification,90-100%,0-35
12,25261,326,997,0.0,3.0,78.0,unfinished,normal withdrawal,F,Scotland,HE Qualification,40-50%,0-35
13,25572,118,226,10.966892325208963,0.0,55.0,unfinished,normal withdrawal,F,London Region,HE Qualification,10-20,0-35
14,25997,14,26,4.041451884327381,3.0,86.5,unfinished,late withdrawal,F,London Region,A Level or Equivalent,20-30%,0-35
15,26023,2385,7074,58.54520662392433,-43.333333333333336,88.0,finished,didn't withdraw,M,North Western Region,Lower Than A Level,10-20,35-55
16,26192,3295,11115,72.51198683868839,-1.2,86.2,finished,didn't withdraw,F,East Anglian Region,A Level or Equivalent,60-70%,35-55
17,26211,29280,182460,74.67359139211564,-60.833333333333336,89.25,finished,didn't withdraw,F,London Region,HE Qualification,20-30%,35-55
18,26247,148,478,0.0,-1.0,88.0,finished,didn't withdraw,M,South East Region,HE Qualification,80-90%,35-55
19,26315,3085,12255,66.12110101926615,-6.2,51.4,finished,didn't withdraw,F,East Anglian Region,Lower Than A Level,60-70%,35-55
20,26734,336,630,38.19283057973456,15.333333333333334,74.33333333333333,finished,didn't withdraw,M,South West Region,A Level or Equivalent,20-30%,0-35
21,27116,5664,14776,70.74959562916344,1.0,93.0,finished,didn't withdraw,M,Yorkshire Region,HE Qualification,70-80%,0-35
22,27189,5676,31656,74.74955640808918,-21.916666666666668,52.0,finished,didn't withdraw,F,South Region,Lower Than A Level,10-20,35-55
23,27417,740,2040,36.5701670579185,5.35,48.7,unfinished,late withdrawal,M,South West Region,Lower Than A Level,60-70%,0-35
24,27683,4800,25548,74.74955640808918,-5.25,82.08333333333333,finished,didn't withdraw,M,London Region,HE Qualification,30-40%,0-35
25,27759,2002,4026,61.40098944399996,0.9090909090909091,76.0909090909091,finished,didn't withdraw,M,North Western Region,Lower Than A Level,40-50%,35-55
26,27780,477,1659,35.3020301588072,-2.0,60.0,finished,didn't withdraw,M,Wales,A Level or Equivalent,10-20,0-35
27,27891,768,2088,34.653425328611455,-16.966666666666665,69.16666666666667,unfinished,late withdrawal,M,Scotland,Lower Than A Level,0-10%,0-35
28,27935,1320,3252,37.35572245319316,0.25,75.25,finished,didn't withdraw,F,East Anglian Region,Lower Than A Level,30-40%,0-35
29,28046,1918,4627,79.14215387188119,-2.7142857142857144,49.42857142857143,finished,didn't withdraw,F,Yorkshire Region,HE Qualification,10-20,35-55
30,28061,3315,7950,72.37905916166778,1.0,77.6,finished,didn't withdraw,M,Yorkshire Region,Lower Than A Level,40-50%,35-55
31,28400,2150,7175,72.51198683868839,0.0,66.4,finished,didn't withdraw,F,Scotland,HE Qualification,20-30%,35-55
32,28418,250,656,25.42485156147577,2.0,31.5,finished,didn't withdraw,F,West Midlands Region,A Level or Equivalent,20-30%,0-35
33,28787,976,2580,75.8313068381008,3.25,56.0,finished,didn't withdraw,M,South East Region,Lower Than A Level,80-90%,35-55
34,28808,214,464,14.405881151970743,0.0,70.0,finished,didn't withdraw,F,South Region,A Level or Equivalent,90-100%,0-35
35,28897,9504,40404,74.68849481335816,-20.0,71.33333333333333,finished,didn't withdraw,M,South West Region,A Level or Equivalent,10-20,0-35
36,28952,90,210,7.264243303278791,1.5,59.5,unfinished,normal withdrawal,F,Yorkshire Region,Lower Than A Level,60-70%,0-35
37,29144,7605,17226,47.11149496403695,3.888888888888889,73.22222222222223,finished,didn't withdraw,M,South Region,Lower Than A Level,60-70%,0-35
38,29335,23652,106080,79.25151351999266,-77.66666666666667,92.08333333333333,finished,didn't withdraw,M,West Midlands Region,Lower Than A Level,40-50%,0-35
39,29411,3022,6545,82.58374185397903,-0.27906976744186046,61.651162790697676,unfinished,late withdrawal,M,East Midlands Region,A Level or Equivalent,80-90%,0-35
40,29420,1995,5712,67.05438769454918,2.5714285714285716,77.14285714285714,finished,didn't withdraw,M,Wales,A Level or Equivalent,70-80%,0-35
41,29639,16900,69956,64.07704236643463,0.16071428571428573,84.55357142857143,finished,didn't withdraw,M,North Region,Lower Than A Level,10-20,0-35
42,29764,5280,22936,67.83312858281957,1.625,88.75,finished,didn't withdraw,M,East Anglian Region,A Level or Equivalent,50-60%,0-35
43,29769,2484,9648,85.1733028913622,-52.666666666666664,77.5,finished,didn't withdraw,M,East Midlands Region,A Level or Equivalent,40-50%,0-35
44,29820,5736,14116,61.571372726243,-0.08,81.02,finished,didn't withdraw,M,East Anglian Region,HE Qualification,40-50%,0-35
45,29985,2340,6840,56.86284945198175,-43.77777777777778,71.88888888888889,finished,didn't withdraw,F,South Region,Lower Than A Level,20-30%,0-35
46,30091,3430,13320,64.39194971738158,2.0,88.0,finished,didn't withdraw,F,South West Region,A Level or Equivalent,10-20,0-35
47,30096,1680,5712,70.81195755896975,-3.375,93.25,finished,didn't withdraw,M,East Anglian Region,HE Qualification,90-100%,0-35
